"time" "x" "z" "v.x" "v.z" "d" "speed"
31363200 36891436880.6675 -67123005586.4421 34693.6773930825 25009.3459263817 76592923916.4938 42768.1965334138
31449600 39845659776.4862 -64889520065.0922 33675.6930389636 26686.8451724518 76146742657.1977 42967.8950719361
31536000 42707927495.4934 -62512439512.5696 32565.0420115958 28332.366250454 75708468250.0775 43164.8576803731
31622400 45470227660.8113 -59994773023.0892 31361.6478606722 29940.1780351155 75278910682.9927 43358.588737541
31708800 48124557796.7054 -57340032948.2635 30065.8215791751 31504.3662012886 74858883518.5002 43548.5788169452
31795200 50662960174.0261 -54552249624.923 28678.293141739 33018.8594424882 74449200618.5081 43734.3066299936
31881600 53077559326.5483 -51635983638.0394 27200.2416844495 34477.4603137803 74050672585.2718 43915.2412879715
31968000 55360602091.7327 -48596335218.5517 25633.3236588826 35873.8807634069 73664102931.0274 44090.8448867581
32054400 57504499972.5384 -45438950371.4586 23979.6982439792 37201.7823273881 73290283994.2072 44260.5754165789
32140800 59501873545.4829 -42170023327.4945 22242.0492454779 38454.8208424473 72929992615.275 44423.8899767117
32227200 61345598580.3341 -38796294946.9275 20423.6027248059 39626.6954123117 72583985608.3178 44580.2482895825
32313600 63028853478.5729 -35325046730.6225 18528.1396046263 40711.2012271733 72252995075.2498 44729.1164966169
32400000 64545167551.9007 -31764090114.9681 16560.0024871853 41702.285692759 71937723588.7732 44869.9711876003
32486400 65888469615.6877 -28121750798.894 14524.0960128369 42594.1071833635 71638839300.2881 45002.3036270141
32572800 67053136311.2229 -24406847907.7589 12425.8801551393 43381.0955942889 71356971025.7093 45125.6241241129
32659200 68034039526.9508 -20628667884.2991 10271.3559788662 44058.0137411755 71092703374.0835 45239.4664917945
32745600 68826592250.9835 -16796933075.9582 8067.04351551537 44620.018540105 70846571982.2869 45343.3925241654
32832000 69426792164.1142 -12921765086.753 5819.95158490522 45062.7208146909 70619058922.9023 45436.9964200255
32918400 69831262277.7737 -9013643064.64784 3537.53958408402 45382.2425167639 70410588355.7586 45519.9090745944
33004800 70037287930.8793 -5083357201.32993 1227.67147120722 45575.2701244609 70221522492.3898 45591.8021595856
33091200 70042849488.9273 -1141957827.58348 -1101.43761122147 45639.1029975373 70052157941.1263 45652.391911391
33177600 69846650136.4048 2799299409.25508 -3441.28141270417 45571.6955286632 69902722496.7668 45701.4425496461
33264000 69448138219.7351 6729011703.10662 -5783.12848183804 45371.69203125 69773372433.0992 45738.7692534029
33350400 68847523681.4433 10635689913.8942 -8118.09284581981 45038.4534476591 69664190349.2131 45764.2406296696
33436800 68045788224.8635 14507821319.3213 -10437.2082422325 44572.0751425071 69575183611.5171 45777.7806189971
33523200 67044688959.8634 18333933499.2177 -12731.5045569062 43973.3952581026 69506283423.0011 45779.3697947868
33609600 65846755400.3149 22102658522.851 -14992.0850380068 43243.9933447811 69457344539.8444 45769.0460266576
33696000 64455279809.5064 25802796595.5093 -17210.202819919 42386.1792285112 69428145643.3267 45746.904493028
