station_european_code	component_code	component_name	component_caption	measurement_unit	measurement_european_group_code	statistics_period	statistics_year	statistics_average_group	statistic_shortname	statistic_name	statistic_value	statistics_percentage_valid	statistics_number_valid	statistics_calculated
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1996	day	Max	maximum	99.130	97.268	356	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1996	hour	P50	50 percentile	35.000	92.555	8130	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1996	hour	Mean	annual mean	38.290	92.555	8130	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1996	hour	P95	95 percentile	83.000	92.555	8130	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1996	hour	P98	98 percentile	96.000	92.555	8130	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1996	hour	Max	maximum	148.000	92.555	8130	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1996	hour	Max19	19th highest value	121.000	92.555	8130	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1996	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	92.555	8130	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1990	day	P50	50 percentile	34.896	83.562	305	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1990	day	Mean	annual mean	36.282	83.562	305	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1990	day	P95	95 percentile	62.113	83.562	305	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1990	day	P98	98 percentile	80.667	83.562	305	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1990	day	Max	maximum	104.188	83.562	305	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1990	hour	P50	50 percentile	33.200	83.995	7358	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1990	hour	Mean	annual mean	36.344	83.995	7358	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1990	hour	P95	95 percentile	76.900	83.995	7358	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1990	hour	P98	98 percentile	94.600	83.995	7358	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1990	hour	Max	maximum	165.200	83.995	7358	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1990	hour	Max19	19th highest value	130.100	83.995	7358	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1990	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	83.995	7358	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1997	day	Mean	annual mean	33.970	72.877	266	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1997	day	P50	50 percentile	34.479	72.877	266	Y
